frame,time,px,py,pz,dx,dy,dz,fov
258,5.375,4.103526,16.0,15.612045,-0.247615,-0.226283,-0.942063,60.5621
259,5.3958,4.033081,16.0,15.602023,-0.243758,-0.226649,-0.942981,60.5695
260,5.4167,3.962516,16.0,15.59221,-0.239875,-0.22701,-0.943889,60.5769
261,5.4375,3.891838,16.0,15.582594,-0.235966,-0.227366,-0.944788,60.5842
262,5.4583,3.821051,16.0,15.573162,-0.232033,-0.227718,-0.945677,60.5915
263,5.4792,3.75016,16.0,15.563905,-0.228075,-0.228065,-0.946556,60.5988
264,5.5,3.679169,16.0,15.55481,-0.224094,-0.228408,-0.947424,60.606
265,5.5208,3.608084,16.0,15.545866,-0.220089,-0.228746,-0.948281,60.6133
266,5.5417,3.536909,16.0,15.537061,-0.216062,-0.229079,-0.949126,60.6205
267,5.5625,3.46565,16.0,15.528383,-0.212013,-0.229409,-0.949959,60.6277
268,5.5833,3.394312,16.0,15.519821,-0.207943,-0.229734,-0.95078,60.6349
269,5.6042,3.322899,16.0,15.511362,-0.203852,-0.230054,-0.951588,60.6421
270,5.625,3.251416,16.0,15.502995,-0.199742,-0.230371,-0.952383,60.6493
271,5.6458,3.179869,16.0,15.494707,-0.195611,-0.230683,-0.953164,60.6564
272,5.6667,3.108262,16.0,15.486487,-0.191462,-0.230991,-0.953932,60.6636
273,5.6875,3.036602,16.0,15.478322,-0.187294,-0.231296,-0.954685,60.6707
274,5.7083,2.964892,16.0,15.4702,-0.183109,-0.231596,-0.955424,60.6779
275,5.7292,2.893138,16.0,15.462108,-0.178906,-0.231893,-0.956148,60.685
276,5.75,2.821345,16.0,15.454034,-0.174687,-0.232186,-0.956856,60.6922
277,5.7708,2.749519,16.0,15.445965,-0.170452,-0.232476,-0.95755,60.6993
278,5.7917,2.677664,16.0,15.437889,-0.166202,-0.232762,-0.958227,60.7065
279,5.8125,2.605786,16.0,15.429794,-0.161937,-0.233045,-0.958888,60.7137
280,5.8333,2.53389,16.0,15.421666,-0.157658,-0.233324,-0.959533,60.7208
281,5.8542,2.461981,16.0,15.413492,-0.153366,-0.233601,-0.960161,60.728
282,5.875,2.390066,16.0,15.40526,-0.14906,-0.233874,-0.960773,60.7352
283,5.8958,2.318148,16.0,15.396957,-0.144742,-0.234145,-0.961367,60.7424
284,5.9167,2.246233,16.0,15.38857,-0.140413,-0.234413,-0.961943,60.7497
285,5.9375,2.174327,16.0,15.380086,-0.136072,-0.234679,-0.962502,60.7569
286,5.9583,2.102435,16.0,15.371491,-0.13172,-0.234942,-0.963043,60.7642
287,5.9792,2.030563,16.0,15.362772,-0.127359,-0.235203,-0.963566,60.7715
288,6.0,1.958715,16.0,15.353916,-0.122987,-0.235462,-0.96407,60.7788
289,6.0208,1.886898,16.0,15.34491,-0.118607,-0.235719,-0.964556,60.7861
290,6.0417,1.815116,16.0,15.33574,-0.114219,-0.235974,-0.965023,60.7935
291,6.0625,1.743376,16.0,15.326393,-0.109822,-0.236228,-0.965472,60.8009
292,6.0833,1.671682,16.0,15.316856,-0.105418,-0.23648,-0.965901,60.8084
293,6.1042,1.600041,16.0,15.307114,-0.101008,-0.236731,-0.966311,60.8158
294,6.125,1.528457,16.0,15.297154,-0.096591,-0.236981,-0.966701,60.8233
295,6.1458,1.456937,16.0,15.286962,-0.092168,-0.237229,-0.967072,60.8309
296,6.1667,1.385485,16.0,15.276525,-0.087739,-0.237478,-0.967422,60.8385
297,6.1875,1.314108,16.0,15.265828,-0.083306,-0.237725,-0.967753,60.8461
298,6.2083,1.242812,16.0,15.254858,-0.078868,-0.237973,-0.968064,60.8538
