frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
108,2.250000,-2.358721,-5.519506,-1.123133,-5.519344,1.139208,-5.433210,2.376928,-5.430858,3.613721,-5.428620
109,2.270833,-2.388834,-5.519791,-1.154487,-5.519693,0.945078,-5.460377,2.182176,-5.458511,3.418607,-5.456702
110,2.291667,-2.418990,-5.519955,-1.185903,-5.519911,0.748978,-5.482609,1.985414,-5.481198,3.221446,-5.479804
111,2.312500,-2.449131,-5.519999,-1.217321,-5.519998,0.551394,-5.499758,1.787130,-5.498771,3.022728,-5.497772
112,2.333333,-2.479201,-5.519922,-1.248683,-5.519954,0.352822,-5.511719,1.587824,-5.511120,2.822954,-5.510494
113,2.354167,-2.509146,-5.519726,-1.279931,-5.519781,0.153767,-5.518428,1.388002,-5.518178,2.622631,-5.517901
114,2.375000,-2.538908,-5.519413,-1.311008,-5.519479,-0.045265,-5.519864,1.188174,-5.519922,2.422271,-5.519966
115,2.395833,-2.659895,-5.516928,-1.434771,-5.517003,-0.199366,-5.517357,1.063634,-5.518322,2.287550,-5.518352
116,2.416667,-2.841036,-5.509562,-1.617441,-5.509621,-0.383318,-5.510224,1.011330,-5.517035,2.232989,-5.517012
117,2.437500,-3.020842,-5.497917,-1.798771,-5.497885,-0.565953,-5.498673,0.959535,-5.515402,2.178943,-5.515294
118,2.458333,-3.198887,-5.482111,-1.978331,-5.481917,-0.746835,-5.482823,0.908133,-5.513427,2.125726,-5.513221
119,2.479167,-3.374757,-5.462297,-2.155701,-5.461869,-0.925540,-5.462826,0.855529,-5.511042,2.075126,-5.510900
120,2.500000,-3.548052,-5.438654,-2.330475,-5.437926,-1.101656,-5.438868,0.803729,-5.508332,2.025329,-5.508283
121,2.520833,-3.719605,-5.411186,-2.501044,-5.410511,-1.274790,-5.411161,0.752827,-5.505320,1.976427,-5.505390
122,2.541667,-3.887950,-5.380255,-2.668137,-5.379734,-1.444565,-5.379948,0.702916,-5.502030,1.928509,-5.502245
123,2.562500,-4.052599,-5.346148,-2.831541,-5.345837,-1.610625,-5.345494,0.654088,-5.498489,1.881662,-5.498873
124,2.583333,-4.213222,-5.309147,-2.990931,-5.309102,-1.772636,-5.308089,0.606431,-5.494724,1.835969,-5.495301
125,2.604167,-4.369512,-5.269559,-3.147497,-5.269436,-1.928790,-5.268437,0.560030,-5.490765,1.791514,-5.491556
126,2.625000,-4.521182,-5.227703,-3.300239,-5.227262,-2.079518,-5.226756,0.514967,-5.486643,1.748374,-5.487668
127,2.645833,-4.667972,-5.183913,-3.448083,-5.183111,-2.225372,-5.183183,0.471323,-5.482390,1.706626,-5.483667
128,2.666667,-4.809644,-5.138533,-3.590789,-5.137332,-2.366118,-5.138059,0.429172,-5.478039,1.666342,-5.479583
129,2.687500,-4.945986,-5.091914,-3.728142,-5.090279,-2.501543,-5.091733,0.388589,-5.473622,1.627592,-5.475448
130,2.708333,-5.077303,-5.044228,-3.859454,-5.042497,-2.631462,-5.044559,0.349642,-5.469174,1.590443,-5.471292
131,2.729167,-5.203252,-4.995870,-3.984734,-4.994308,-2.755707,-4.996891,0.312399,-5.464727,1.554957,-5.467148
132,2.750000,-5.323354,-4.947318,-4.104170,-4.945952,-2.874137,-4.949082,0.276921,-5.460316,1.521195,-5.463047
133,2.770833,-5.437484,-4.898926,-4.217639,-4.897783,-2.986629,-4.901482,0.243268,-5.455974,1.489212,-5.459018
134,2.791667,-5.545537,-4.851043,-4.325038,-4.850148,-3.093080,-4.854433,0.211494,-5.451732,1.459061,-5.455093
135,2.812500,-5.647428,-4.804011,-4.426281,-4.803385,-3.193407,-4.808271,0.181652,-5.447623,1.430790,-5.451300
136,2.833333,-5.743088,-4.758160,-4.521300,-4.757823,-3.287541,-4.763319,0.153789,-5.443675,1.404446,-5.447667
137,2.854167,-5.832464,-4.713806,-4.610045,-4.713776,-3.375430,-4.719887,0.127950,-5.439920,1.380070,-5.444220
138,2.875000,-5.915516,-4.671253,-4.692476,-4.671545,-3.457035,-4.678271,0.104174,-5.436383,1.357700,-5.440986
139,2.895833,-5.992219,-4.630786,-4.768566,-4.631414,-3.532331,-4.638753,0.082498,-5.433091,1.337370,-5.437987
140,2.916667,-6.062557,-4.592675,-4.838302,-4.593650,-3.601301,-4.601593,0.062954,-5.430068,1.319110,-5.435245
141,2.937500,-6.126522,-4.557169,-4.901675,-4.558499,-3.663937,-4.567036,0.045572,-5.427334,1.302948,-5.432780
142,2.958333,-6.184117,-4.524498,-4.958688,-4.526188,-3.720240,-4.535305,0.030376,-5.424910,1.288907,-5.430609
143,2.979167,-6.235346,-4.494871,-5.009346,-4.496925,-3.770216,-4.506602,0.017387,-5.422813,1.277005,-5.428748
144,3.000000,-6.280222,-4.468472,-5.053660,-4.470892,-3.813874,-4.481108,0.006622,-5.421058,1.267260,-5.427209
145,3.020833,-6.318759,-4.445468,-5.091645,-4.448251,-3.851228,-4.458981,-0.001904,-5.419656,1.259682,-5.426003
146,3.041667,-6.350973,-4.425997,-5.123317,-4.429141,-3.882294,-4.440357,-0.008183,-5.418617,1.254279,-5.425139
147,3.062500,-6.376882,-4.410176,-5.148694,-4.413675,-3.907087,-4.425346,-0.012209,-5.417948,1.251058,-5.424622
148,3.083333,-6.396504,-4.398099,-5.167792,-4.401945,-3.925626,-4.414036,-0.013979,-5.417653,1.250017,-5.424454
149,3.104167,-6.409855,-4.389834,-5.180629,-4.394016,-3.937925,-4.406492,-0.013496,-5.417733,1.251155,-5.424637
150,3.125000,-6.416953,-4.385424,-5.187221,-4.389931,-3.944001,-4.402754,-0.010764,-5.418188,1.254465,-5.425169
151,3.145833,-6.417812,-4.384890,-5.187582,-4.389706,-3.943868,-4.402836,-0.005794,-5.419013,1.259937,-5.426044
152,3.166667,-6.412445,-4.388226,-5.181726,-4.393337,-3.937538,-4.406730,0.001402,-5.420200,1.267558,-5.427256
153,3.187500,-6.400863,-4.395404,-5.169663,-4.400791,-3.925024,-4.414405,0.010807,-5.421742,1.277309,-5.428795
